municipality,year,sampi_headcount,sampi_intensity,population
462,2016,0.052,0.417,35840
463,2016,0.05,0.443,24797
464,2016,0.066,0.417,66084
465,2016,0.074,0.436,29149
466,2016,0.046,0.41,47373
467,2016,0.043,0.418,428843
468,2016,0.053,0.442,78515
469,2016,0.064,0.413,117632
470,2016,0.052,0.424,140044
471,2016,0.08,0.44,64893
472,2016,0.081,0.408,353452
473,2016,0.087,0.445,50054
474,2016,0.04,0.417,53525
475,2016,0.029,0.426,154732
477,2016,0.054,0.425,118907
478,2016,0.058,0.416,163564
479,2016,0.068,0.406,57574
499,2016,0.05,0.411,759693
503,2016,0.193,0.429,160005
504,2016,0.174,0.432,108576
505,2016,0.141,0.424,56315
506,2016,0.076,0.414,292219
514,2016,0.071,0.419,253382
524,2016,0.039,0.408,389117
525,2016,0.068,0.421,36869
526,2016,0.075,0.426,105121
529,2016,0.114,0.433,241196
538,2016,0.023,0.396,370579
542,2016,0.179,0.442,114284
546,2016,0.198,0.448,89969
560,2016,0.157,0.428,80739
561,2016,0.095,0.409,92100
562,2016,0.108,0.413,111645
563,2016,0.052,0.44,105609
564,2016,0.077,0.473,41096
565,2016,0.133,0.403,33328
566,2016,0.038,0.419,679766
567,2016,0.107,0.419,68881
568,2016,0.12,0.41,71547
569,2016,0.123,0.423,103113
570,2016,0.083,0.453,100265
571,2016,0.129,0.431,135132
573,2016,0.149,0.411,114917
574,2016,0.045,0.423,76639
575,2016,0.137,0.431,171325
576,2016,0.247,0.44,189578
577,2016,0.134,0.435,113635
578,2016,0.093,0.433,89614
579,2016,0.106,0.419,143845
580,2016,0.092,0.434,211893
581,2016,0.104,0.423,205762
582,2016,0.227,0.46,172077
583,2016,0.165,0.439,198215
584,2016,0.162,0.438,39357
585,2016,0.103,0.417,77265
586,2016,0.1,0.414,202176
587,2016,0.072,0.427,138561
588,2016,0.151,0.418,74792
589,2016,0.127,0.441,223140
590,2016,0.114,0.43,49778
591,2016,0.072,0.415,147808
592,2016,0.08,0.415,276719
593,2016,0.139,0.447,143117
594,2016,0.179,0.45,105061
595,2016,0.106,0.397,14537
596,2016,0.048,0.427,76753
597,2016,0.151,0.437,108628
598,2016,0.177,0.43,197286
599,2016,0.038,0.408,3661911
660,2016,0.117,0.404,189901
661,2016,0.085,0.421,537516
662,2016,0.08,0.446,626522
663,2016,0.061,0.412,59562
664,2016,0.106,0.424,243649
665,2016,0.169,0.423,106108
666,2016,0.109,0.417,129052
667,2016,0.082,0.414,314394
668,2016,0.094,0.423,181865
669,2016,0.13,0.42,157690
670,2016,0.105,0.431,68803
671,2016,0.088,0.442,64000
672,2016,0.173,0.416,167827
673,2016,0.036,0.405,56025
674,2016,0.148,0.425,102703
675,2016,0.124,0.432,63923
676,2016,0.048,0.411,179604
677,2016,0.037,0.429,417282
678,2016,0.064,0.425,82012
760,2016,0.032,0.43,733445
761,2016,0.051,0.422,111612
762,2016,0.038,0.432,112472
763,2016,0.043,0.442,383864
764,2016,0.042,0.424,156985
765,2016,0.149,0.467,108902
766,2016,0.064,0.436,188843
797,2016,0.066,0.447,3379104
798,2016,0.035,0.441,4949347
799,2016,0.041,0.431,3275152
860,2016,0.103,0.418,187630
861,2016,0.067,0.45,164608
862,2016,0.119,0.437,189036
863,2016,0.102,0.418,85395
864,2016,0.05,0.428,123419
865,2016,0.084,0.453,45232
866,2016,0.039,0.425,340091
867,2016,0.047,0.412,84151
868,2016,0.109,0.454,455228
869,2016,0.051,0.417,278749
870,2016,0.087,0.431,48149
871,2016,0.061,0.424,333331
872,2016,0.102,0.41,246016
873,2016,0.055,0.423,101895
874,2016,0.059,0.421,622158
875,2016,0.085,0.43,71211
876,2016,0.093,0.412,410907
877,2016,0.097,0.418,548760
960,2016,0.163,0.424,256127
961,2016,0.143,0.43,218030
962,2016,0.131,0.418,416488
963,2016,0.076,0.417,168937
964,2016,0.125,0.409,99605
965,2016,0.213,0.422,99090
966,2016,0.139,0.424,657982
967,2016,0.056,0.403,94461
968,2016,0.116,0.428,542416
969,2016,0.121,0.432,160604
970,2016,0.136,0.43,125072
973,2016,0.095,0.43,108645
974,2016,0.054,0.41,702190
976,2016,0.138,0.411,233925
977,2016,0.086,0.449,96232
978,2016,0.09,0.444,136626
979,2016,0.071,0.418,36655
980,2016,0.068,0.442,71044
981,2016,0.035,0.415,76296
982,2016,0.112,0.413,328905
983,2016,0.131,0.415,127169
984,2016,0.109,0.423,268256
985,2016,0.153,0.425,283956
986,2016,0.148,0.415,96668
987,2016,0.142,0.429,393713
