year,age_by_1_year,population_group,population
2016,72,Black African,99495
2016,72,White,40607
2016,73,Black African,112150
2016,73,White,39277
2016,74,Black African,86371
2016,74,White,31594
2016,75,Black African,78442
2016,75,White,38412
2016,76,Black African,65031
2016,76,White,32698
2016,77,Black African,51166
2016,77,White,27835
2016,78,Black African,41938
2016,78,White,25441
2016,79,Black African,40953
2016,79,White,23003
2016,80,Black African,37667
2016,80,White,19073
2016,81,Black African,33299
2016,81,White,14594
2016,82,Black African,29709
2016,82,White,12934
2016,83,Black African,30477
2016,83,White,12973
2016,84,Black African,21054
2016,84,White,11225
2016,85,Black African,30124
2016,85,White,9917
2016,86,Black African,25282
2016,86,White,7416
2016,87,Black African,16557
2016,87,White,6364
2016,88,Black African,13149
2016,88,White,4744
2016,89,Black African,10419
2016,89,White,3295
2016,90,Black African,9869
2016,90,White,2664
2016,91,Black African,8131
2016,91,White,1793
2016,92,Black African,5704
2016,92,White,1901
2016,93,Black African,5111
2016,93,White,952
2016,94,Black African,4877
2016,94,White,1151
2016,95,Black African,5927
2016,95,White,795
2016,96,Black African,3534
2016,96,White,320
2016,97,Black African,4005
2016,97,White,179
2016,98,Black African,1876
2016,98,White,77
2016,99,Black African,862
2016,99,White,60
2016,100,Black African,792
2016,100,White,108
2016,101,Black African,1057
2016,101,White,44
2016,102,Black African,586
2016,102,White,19
2016,103,Black African,543
2016,103,White,56
2016,104,Black African,306
2016,104,White,22
2016,105,Black African,498
2016,105,White,31
2016,106,Black African,315
2016,106,White,0
2016,107,Black African,177
2016,107,White,0
2016,108,Black African,80
2016,108,White,0
2016,109,Black African,86
2016,109,White,0
2016,110,Black African,91
2016,110,White,0
2016,111,Black African,75
2016,111,White,0
2016,112,Black African,45
2016,112,White,0
2016,113,Black African,68
2016,113,White,0
2016,114,Black African,88
2016,114,White,0
2016,115,Black African,160
2016,115,White,41
2016,116,Black African,101
2016,116,White,0
