year,municipality,piped_water_percentage,electricity_lighting_total,population
2001,961,0.98431292,0.839119375,218873.4238
2001,962,0.978876228,0.906028946,375585.6393
2001,963,0.987476721,0.915782415,131536.1715
2001,964,0.985168749,0.905642765,94382.7286
2001,965,0.988919707,0.838026386,82892.69187
2001,966,0.97866979,0.868034853,581486.5548
2001,967,0.981316525,0.910145624,39309.52464
2001,968,0.976398248,0.895594951,494263.5157
2001,969,0.969630359,0.881173579,171721.4471
2001,970,0.967317817,0.876070211,146871.8974
2001,973,0.991245533,0.804181918,109441.0381
2001,974,0.991501588,0.834240626,508276.5703
2001,976,0.990333384,0.903264733,227969.6379
2001,977,0.938943887,0.811911395,65533.36105
2001,978,0.967993712,0.862501798,85272.46909
2001,979,0.972909118,0.908922856,34540.82874
2001,980,0.945270684,0.865785117,69027.28428
2001,981,0.956302572,0.849025072,52124.24099
2001,982,0.958493652,0.806926454,298439.4285
2001,983,0.963987906,0.802392771,121326.6163
2001,984,0.978923876,0.733765633,221647.026
2001,985,0.984044298,0.799766855,262005.4104
2001,986,0.991805427,0.867417283,92598.03897
2001,987,0.987572909,0.887748339,269607.598
2011,160,0.99050613,0.940868258,67146.7936
2011,161,0.965185314,0.869415063,49767.80588
2011,162,0.978140109,0.885412441,61896.75796
2011,163,0.957043243,0.895028346,99192.87595
2011,164,0.956641518,0.86269067,113762.1294
2011,165,0.893150996,0.797603969,115945.9428
2011,166,0.972173602,0.891572273,251261.9731
2011,167,0.988808092,0.869108894,155732.5852
2011,168,0.954277399,0.87065882,166825.381
2011,169,0.420843102,0.496684399,97724.40105
2011,170,0.609068581,0.613708822,35915.96874
2011,171,0.909470942,0.801563475,108790.34
2011,172,0.851211525,0.824307918,80431.70892
2011,173,0.968782022,0.913999102,33037.81549
2011,174,0.940218894,0.884288193,24766.71704
2011,175,0.967878578,0.921882953,52642.06555
2011,176,0.9923296,0.9564344,89430.40441
2011,177,0.951372441,0.880061716,193671.7253
2011,178,0.982201333,0.916994455,95933.48932
2011,179,0.974035292,0.909475909,49161.86641
2011,180,0.749540639,0.642519706,68658.58182
2011,181,0.926161569,0.785059668,8289.20532
2011,182,0.668373198,0.508692292,13135.74558
2011,183,0.906164648,0.791222321,49586.01802
2011,199,0.530740786,0.463182187,3740026.033
2011,260,0.811293874,0.811272798,755200.0495
2011,261,0.981295693,0.841847448,50993.45802
2011,262,0.980988054,0.905171904,36001.7992
2011,263,0.308361101,0.628264647,10537.35582
2011,264,0.347293269,0.678040999,80389.62741
2011,265,0.447127414,0.709850638,61175.96832
2011,266,0.614992408,0.726143883,54503.88757
2011,267,0.606407261,0.733385247,17761.06724
2011,268,0.740435333,0.448709139,98557.83591
2011,269,0.613817253,0.452070958,40663.23047
2011,270,0.150966041,0.599813194,254908.7963
2011,271,0.49971816,0.232685899,252390.3678
2011,272,0.97479047,0.809211284,38990.5468
2011,273,0.990185256,0.904841031,122777.7696
2011,274,0.978347195,0.927726294,72189.97413
2011,276,0.986522414,0.926227366,127115.1605
2011,277,0.988348648,0.897457947,24264.0379
2011,278,0.9787892,0.93789348,65559.865
2011,279,0.975561278,0.932458532,33280.67544
2011,280,0.977123652,0.842243781,21970.79147
2011,281,0.972080623,0.918964086,190722.8962
2011,282,0.979871969,0.911010235,145372.0415
2011,283,0.987934019,0.903413405,119459.6089
2011,284,0.981281017,0.88607365,155513.0133
2011,285,0.977879822,0.847912182,63582.424
2011,286,0.945373104,0.846564119,138140.8152
2011,287,0.960815449,0.890407635,134150.4472
2011,288,0.959934737,0.749266849,43800.20624
2011,289,0.988368757,0.910042438,33676.55494
2011,290,0.989544579,0.933176464,278480.9906
2011,291,0.990262925,0.920137556,156136.215
2011,292,0.990676614,0.864308911,290389.847
2011,293,0.976393885,0.844320024,188225.792
2011,294,0.978701041,0.91400376,451710.4275
