province_from,municipality_to,population_group,flow
1,874,Coloured,85.21658
1,874,Indian or Asian,29.12286
1,874,White,651.05225
1,874,Other,1.64183
1,875,Black African,27.61673
1,875,Coloured,11.42215
1,875,Indian or Asian,0
1,875,White,93.45273
1,875,Other,0
1,876,Black African,48.3167
1,876,Coloured,5.4748
1,876,Indian or Asian,0
1,876,White,90.87669
1,876,Other,3.28366
1,877,Black African,24.65504
1,877,Coloured,2
1,877,Indian or Asian,0
1,877,White,33.15599
1,877,Other,1
1,660,Black African,28.61001
1,660,Coloured,0
1,660,Indian or Asian,0
1,660,White,2
1,660,Other,0
1,661,Black African,363.40335
1,661,Coloured,44.90504
1,661,Indian or Asian,1.34509
1,661,White,461.94764
1,661,Other,16.76072
1,662,Black African,537.57511
1,662,Coloured,109.13785
1,662,Indian or Asian,18.64363
1,662,White,388.5733
1,662,Other,11.65793
1,663,Black African,14.52635
1,663,Coloured,2.69018
1,663,Indian or Asian,2.69018
1,663,White,26.60298
1,663,Other,0
1,664,Black African,59.51687
1,664,Coloured,33.7248
1,664,Indian or Asian,11.76072
1,664,White,28.91818
1,664,Other,6.51869
1,665,Black African,13.95319
1,665,Coloured,3.31122
1,665,Indian or Asian,0
1,665,White,4.72878
1,665,Other,0
1,666,Black African,21.8238
1,666,Coloured,3.7105
1,666,Indian or Asian,0
1,666,White,21.14048
1,666,Other,0
1,667,Black African,155.01313
1,667,Coloured,49.26049
1,667,Indian or Asian,41.71838
1,667,White,55.33542
1,667,Other,8.07054
1,668,Black African,9.55308
1,668,Coloured,11.76072
1,668,Indian or Asian,1.34509
1,668,White,78.04718
1,668,Other,1.34509
1,669,Black African,27.17746
1,669,Coloured,9.41563
1,669,Indian or Asian,1.27617
1,669,White,28.15538
1,669,Other,0
1,670,Black African,32.64055
1,670,Coloured,42.69779
1,670,Indian or Asian,13.10581
1,670,White,53.10244
1,670,Other,4.03527
1,671,Black African,11.83421
1,671,Coloured,0
1,671,Indian or Asian,1.34509
1,671,White,12.79932
1,671,Other,0
1,672,Black African,50.13786
1,672,Coloured,4.72638
1,672,Indian or Asian,8.98597
1,672,White,4.17204
1,672,Other,0
1,673,Black African,42.74649
1,673,Coloured,23.52144
1,673,Indian or Asian,0
1,673,White,104.36795
1,673,Other,8.07054
1,674,Black African,13.97374
1,674,Coloured,0
1,674,Indian or Asian,1.34509
1,674,White,23.77734
1,674,Other,0
1,675,Black African,24.10372
1,675,Coloured,1.34509
1,675,Indian or Asian,4.03527
1,675,White,27.90412
1,675,Other,1.34509
1,676,Black African,88.63275
1,676,Coloured,171.55429
1,676,Indian or Asian,9.07054
1,676,White,461.17093
1,676,Other,1.34509
