date	week	weekday	value	currency	target	Food/Household	Local Transport	Rent	Sport	Phone/Internet	Fees	Special	category	place
2013-05-04	72	6	560.00	sek	SL monthly fee		Local Transport						Local Transport	Stockholm
2013-05-13	74	1	148.75	sek	Lidl Stockholm	Food/Household							Food/Household	Stockholm
2013-05-16	74	4	26.80	sek	Kista Grossen	Food/Household							Food/Household	Stockholm
2013-06-01	76	6	2050.00	sek	KTH Kista Rent			Rent					Rent	Stockholm
2013-05-16	74	4	1606.75	sek (from rur x4.979)	Hotel Helens home in Piter							Travels	Travels	Stockholm
2013-05-19	74	7	50.00	sek	Comviq Amigos 50 - Failed					Phone/Internet			Phone/Internet	Stockholm
2013-05-21	75	2	50.00	sek	Comviq Amigos 50					Phone/Internet			Phone/Internet	Stockholm
2013-05-22	75	3	130.00	sek	NIGHTMARE OU							Unclassified	Unclassified	Stockholm
2013-05-23	75	4	2623.07	sek	Finnish Residence Permit							Fees	Fees	Stockholm
2013-05-23	75	4	22.90	sek	ICA Stockholm	Food/Household							Food/Household	Stockholm
2013-05-24	75	5	220.00	sek	Haircut							Other	Other	Stockholm
2013-05-24	75	5	75.00	sek	Train to Stockholm Airport (Piter)							Travels	Travels	Stockholm
2013-05-27	76	1	40.17	sek (from rur x4.979)	Megafon							Travels	Travels	Piter
2013-05-27	76	1	6.03	sek (from rur x4.979)	Megafon							Travels	Travels	Piter
2013-05-28	76	2	742.38	sek	Aegean Airlines BUD-ATH							Travels	Travels	Piter
2013-05-28	76	2	578.00	sek	Norwegian ARN-BUD							Travels	Travels	Piter
2013-05-28	76	2	6.03	sek (from rur x4.979)	Megafon							Travels	Travels	Piter
2013-05-28	76	2	10.04	sek (from rur x4.979)	Megafon							Travels	Travels	Piter
2013-05-28	76	2	40.97	sek (from rur x4.979)	Medicine for lion cub							Travels	Travels	Piter
2013-05-29	76	3	75.00	sek	Train from Stockholm Airport (Piter)							Travels	Travels	Stockholm
2013-05-30	76	4	25.00	sek	Card fee						Fees		Fees	Stockholm
2013-05-28	76	2	70.33	sek (from rur x4.979)	Behance							Fees	Fees	Stockholm
2013-05-28	76	2	370.00	sek	K-C SOLNA				Sport				Sport	Stockholm
2013-06-04	77	2	560.00	sek	SL monthly fee		Local Transport						Local Transport	Stockholm
2013-06-07	77	5	121.00	sek	Lidl Stockholm	Food/Household							Food/Household	Stockholm
2013-06-08	77	6	49.30	sek	Lidl Stockholm	Food/Household							Food/Household	Stockholm
2013-06-23	79	7	41.89	sek	Lidl Stockholm	Food/Household							Food/Household	Stockholm
2013-06-27	80	4	25.00	sek	Card fee						Fees		Fees	Stockholm
2013-06-28	80	5	563.50	sek (from rur x4.979)	"Wizzair BUD-HEL - Fail, wasted"							Travels	Travels	Budapest
2013-06-28	80	5	72.99	sek (from rur x4.979)	Behance							Fees	Fees	Budapest
2013-07-08	82	1	764.98	sek (from rur x4.979)	Norwegian BUD-HEL							Travels	Travels	Budapest
2013-07-12	82	5	15.01	sek (from rur x4.979)	Food in Budapest							Food/Household	Food/Household	Budapest
2013-07-15	83	1	341.92	sek (from rur x4.979)	Cash							Travels	Travels	Budapest
2013-07-15	83	1	19.14	sek (from rur x4.979)	Food in Budapest							Food/Household	Food/Household	Budapest
2013-07-22	84	1	470.08	sek (from rur x4.979)	Climbing festival (Food in Litohoro)							Travels	Travels	Greece
2013-07-29	85	1	923.01	sek (from rur x4.979)	Climbing festival (Cash)							Travels	Travels	Greece
2013-07-30	85	2	25.00	sek	Card fee						Fees		Fees	Greece
2013-07-28	84	7	73.31	sek (from rur x4.979)	Behance							Fees	Fees	Greece
2013-08-06	86	2	361.52	sek (from rur x4.979)	"Transfer to some card, can't remember"							Unclassified	Unclassified	Budapest
2013-08-07	86	3	73.83	sek (from rur x4.979)	Food in Budapest							Food/Household	Food/Household	Budapest
2013-08-27	89	2	903.80	sek (from rur x4.979)	Hotel Graffiti in Piter							Travels	Travels	Piter
2013-08-28	89	3	24.10	sek (from rur x4.979)	Food in Piter							Food/Household	Food/Household	Piter
2013-08-29	89	4	25.00	sek	Card fee						Fees		Fees	Piter
2013-08-28	89	3	74.04	sek (from rur x4.979)	Behance							Fees	Fees	Piter
2013-08-30	89	5	20.04	sek (from rur x4.979)	Food in Piter							Food/Household	Food/Household	Piter
2013-08-31	89	6	43.70	sek (from eur x8.74)	Lidl household liquids	Food/Household							Food/Household	Helsinki
2013-08-31	89	6	121.92	sek (from eur x8.74)	Lidl food	Food/Household							Food/Household	Helsinki
2013-08-31	89	6	33.21	sek (from eur x8.74)	S-market household	Food/Household							Food/Household	Helsinki
2013-09-02	90	1	34.96	sek (from eur x8.74)	HSL to otaniemi							Local Transport	Local Transport	Helsinki
2013-09-02	90	1	61.18	sek (from eur x8.74)	DNA simcard							Phone/Internet	Phone/Internet	Helsinki
2013-09-02	90	1	43.70	sek (from eur x8.74)	HSL card							Local Transport	Local Transport	Helsinki
