geo,time,gender,age,population
zaf,2001,Male,80,23054.68716
zaf,2001,Male,81,24421.96791
zaf,2001,Male,82,15727.75694
zaf,2001,Male,83,18804.31308
zaf,2001,Male,84,8826.032316
zaf,2001,Male,85,6520.141326
zaf,2001,Male,86,6120.601079
zaf,2001,Male,87,8432.975843
zaf,2001,Male,88,3782.030817
zaf,2001,Male,89,3986.913621
zaf,2001,Male,90,3312.082754
zaf,2001,Male,91,3794.947009
zaf,2001,Male,92,1821.500147
zaf,2001,Male,93,1315.281037
zaf,2001,Male,94,1064.988725
zaf,2001,Male,95,1046.140838
zaf,2001,Male,96,758.130873
zaf,2001,Male,97,741.351794
zaf,2001,Male,98,627.935229
zaf,2001,Male,99,1026.96344
zaf,2001,Male,100,677.691912
zaf,2001,Male,101,351.41859
zaf,2001,Male,102,104.878116
zaf,2001,Male,103,53.346825
zaf,2001,Male,104,42.7469
zaf,2001,Male,105,52.857924
zaf,2001,Male,106,28.411783
zaf,2001,Male,107,15.582637
zaf,2001,Male,108,12.581839
zaf,2001,Male,109,20.345826
zaf,2001,Male,110,26.563759
zaf,2001,Male,111,28.764708
zaf,2001,Male,112,15.974415
zaf,2001,Male,113,24.368963
zaf,2001,Male,114,12.351981
zaf,2001,Male,115,8.530659
zaf,2001,Male,116,10.778781
zaf,2001,Male,117,16.903802
zaf,2001,Male,118,19.216755
zaf,2001,Male,119,9.427898
zaf,2001,Male,120,22.761042
zaf,2001,Female,0,454482.4234
zaf,2001,Female,1,434380.5152
zaf,2001,Female,2,439423.8212
zaf,2001,Female,3,438240.3605
zaf,2001,Female,4,459557.8467
zaf,2001,Female,5,483429.904
zaf,2001,Female,6,474484.6865
zaf,2001,Female,7,485577.1152
zaf,2001,Female,8,475088.4183
zaf,2001,Female,9,509170.4719
zaf,2001,Female,10,529001.9406
zaf,2001,Female,11,519048.7222
zaf,2001,Female,12,501118.7572
zaf,2001,Female,13,500220.8797
zaf,2001,Female,14,493570.6449
zaf,2001,Female,15,510597.2952
zaf,2001,Female,16,518481.5262
zaf,2001,Female,17,498827.7591
zaf,2001,Female,18,504345.0475
zaf,2001,Female,19,496390.5649
zaf,2001,Female,20,462866.5828
zaf,2001,Female,21,470882.1053
zaf,2001,Female,22,433806.6048
